,Round Number,Seed,solution,Location Counter,Location Created,Location Created Sum,Location Deleted,Location Deleted Sum,Location Read,Location Read Sum,Location Write,Location Write Sum,Memory Read,Memory Read Sum,Memory Write,Memory Write Sum,Particle Counter,Particles Created,Particles Created Sum,Particles Deleted,Particles Deleted Sum,Particles Dropped,Particles Dropped Sum,Particle Read,Particle Read Sum,Particle Steps,Particle Steps Sum,Particles Taken,Particles Taken Sum,Particle Write,Particle Write Sum,Success Counter,Success Round,Tile Counter,Tiles Created,Tiles Created Sum,Tiles Deleted,Tiles Deleted Sum,Tiles Dropped,Tiles Dropped Sum,Tile Read,Tile Read Sum,Tiles Taken,Tiles Taken Sum,Tile Write,Tile Write Sum
,1,12,marking,141,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,12,marking,142,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,12,marking,144,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,12,marking,146,1,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,12,marking,148,1,4,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,12,marking,149,1,5,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,7,12,marking,149,1,6,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,8,12,marking,149,1,7,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,9,12,marking,149,1,8,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,10,12,marking,149,1,9,1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,11,12,marking,151,1,10,1,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,12,12,marking,152,1,11,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,13,12,marking,154,1,12,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,12,marking,155,1,13,1,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,15,12,marking,157,1,14,1,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,16,12,marking,157,1,15,1,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,17,12,marking,158,1,16,1,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,18,12,marking,160,1,17,1,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,19,12,marking,161,1,18,1,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,20,12,marking,161,1,19,1,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,21,12,marking,163,1,20,1,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,22,12,marking,164,1,21,1,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,23,12,marking,165,1,22,1,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,24,12,marking,165,1,23,1,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,25,12,marking,167,1,24,1,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,26,12,marking,168,1,25,1,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,27,12,marking,169,1,26,1,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,28,12,marking,170,1,27,1,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,29,12,marking,172,1,28,1,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,30,12,marking,173,1,29,1,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,31,12,marking,174,1,30,1,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,32,12,marking,174,1,31,1,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,33,12,marking,176,1,32,1,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,34,12,marking,177,1,33,1,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,35,12,marking,178,1,34,1,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,34,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,36,12,marking,180,1,35,1,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,37,12,marking,180,1,36,1,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,36,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,38,12,marking,181,1,37,1,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,37,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
